module,flow,alert_id,severity,what_breaks,signal,signal_type,cloudwatch_filter_pattern,metric_name,threshold,window,min_volume_guard,action,owner,runbook,notes,status
zoho,SO creation - broker connection lost,so-mq-connection-crit,critical,"The AmazonMQ connection is down, so no ORDER_PLACED message is consumed at all. Every order placed from now on has no Sales Order.",AMAZON_MQ_CONNECTION_ERROR,log-tracecode,"{ $.msg = ""AMAZON_MQ_CONNECTION_ERROR"" }",SoMqConnectionError,>= 3,10 min,n/a,Page,TBD,"Check broker health and the consumer pod. Restart the worker if reconnect is not happening. Orders placed during the outage recover via the 30-min sweeper.","Fastest detector of total SO stoppage (minutes) - the backlog alert catches the same thing but takes up to an hour. Pair with AMAZON_MQ_RECONNECTED to auto-resolve.",proposed
zoho,SO creation - broker connection lost,so-mq-connection-warn,warning,"Broker connection is flapping",AMAZON_MQ_CONNECTION_CLOSED,log-tracecode,"{ $.msg = ""AMAZON_MQ_CONNECTION_CLOSED"" }",SoMqConnectionClosed,>= 2,30 min,n/a,Slack,TBD,"Normal on deploy. Only investigate if it fires outside a deploy window.","Will fire on every rollout - either add a deploy-window suppression or accept it as informational.",proposed
platform,Unhandled 5xx from any endpoint,plat-unhandled-5xx-crit,critical,"A handler threw something its own try/catch did not cover. Client gets a 500. THIS IS THE 'junior dev broke an API' CASE AND THERE IS CURRENTLY NO SIGNAL FOR IT.",none - ErrorLoggingFilter logs nothing,BLOCKED,"n/a - cannot be built until the filter logs",n/a,n/a,n/a,n/a,Page,TBD,"BLOCKER: uncomment/restore the logError call in src/common/middleware/exception-filter.ts. Until then this failure mode is invisible.","The global APP_FILTER catches every uncaught Error, returns 500, and emits ZERO log lines - the logging call is commented out. Fix the filter first; every row below is a partial substitute for this one.",blocked-needs-code-fix
platform,Unhandled 5xx from any endpoint,plat-unhandled-5xx-warn,warning,"Same as above at lower volume",none - ErrorLoggingFilter logs nothing,BLOCKED,"n/a",n/a,n/a,n/a,n/a,Slack,TBD,"Same blocker.","Also fix while you are in there: QueryFailedError is returned as HTTP 400 with the raw DB message. A broken query therefore looks like a client error in any HTTP-level metric, and leaks schema detail to the caller.",blocked-needs-code-fix
platform,Caught server errors across all routes,plat-5xx-rate-crit,critical,"Server-side failures are spiking somewhere in the app - broad breakage, likely a bad deploy",level=error on any TraceCode,log-tracecode,"{ $.level = ""error"" }",AppServerErrors,>= 3x the trailing 7-day same-hour median,15 min,>= 50 errors in window,Page,TBD,"Group by $.meta.path in Logs Insights to find which route. Check the last deploy time first - this alert exists to catch bad releases.","APP-WIDE = CATASTROPHE DETECTOR ONLY. With 837 routes across 72 controllers, one route going 100%-broken moves the global rate ~1 point and hides under any sane threshold. Per-route alarms (the ord-* rows) are what catch a single broken API. Also only covers errors a handler CAUGHT and logged - uncaught ones are invisible until plat-unhandled-5xx is unblocked.",proposed
platform,Caught server errors across all routes,plat-5xx-rate-warn,warning,"Elevated server errors app-wide",level=error on any TraceCode,log-tracecode,"{ $.level = ""error"" }",AppServerErrors,>= 2x trailing 7-day same-hour median,1 hr,>= 50 errors in window,Slack,TBD,"Same triage. Usually one route dominates.","Baseline per hour-of-day - a flat threshold will be wrong at both 3am and 8pm.",proposed
platform,Client-error (4xx) spike,plat-4xx-rate-crit,critical,"A deploy broke request validation, auth, or a contract the app/web relies on - clients that worked yesterday are now being rejected",level=warn on any TraceCode,log-tracecode,"{ $.level = ""warn"" }",AppClientErrors,>= 5x trailing 7-day same-hour median,15 min,>= 100 in window,Page,TBD,"Group by $.meta.path and $.meta.error_message. A single new message dominating = a contract change. Roll back before debugging.","Same app-wide dilution caveat as plat-5xx. Two more traps: (1) QueryFailedError surfaces here as a 400 even though it is a server bug; (2) the global pipe is whitelist:false, so unknown fields are stripped silently rather than 400ing - some validation breakage will NOT show up as 4xx at all.",proposed
platform,Client-error (4xx) spike,plat-4xx-rate-warn,warning,"Elevated client errors - possibly one broken client version",level=warn on any TraceCode,log-tracecode,"{ $.level = ""warn"" }",AppClientErrors,>= 3x trailing 7-day same-hour median,1 hr,>= 100 in window,Slack,TBD,"Check whether it is concentrated on one app version or one route.","4xx has a large legitimate baseline (expired OTPs, invalid coupons, unserviceable pincodes). Ratio against total request volume, never an absolute count.",proposed
platform,Process-level crash,plat-unhandled-process-crit,critical,"An unhandled rejection or uncaught exception at the process level - the pod may be about to die or is already in a bad state",UNHANDLED_ERROR / UNHANDLED_REJECTIONS,log-tracecode,"{ $.msg = ""UNHANDLED_ERROR"" || $.msg = ""UNHANDLED_REJECTIONS"" }",AppUnhandled,>= 1,5 min,n/a,Page,TBD,"Read the stack in $.meta.error_stack. Correlate with pod restart count.","Fires on a single occurrence deliberately - these are always bugs, never load. Emitted by src/common/error-handler/global-error-handler.ts.",proposed
orders,Order placement API failing,ord-initiate-error-crit,critical,"Customers cannot place orders. Direct revenue loss, and the most likely blast radius of a bad orders deploy.",ORDER_CREATE_ERROR + level=error on the route,log-tracecode,"{ $.level = ""error"" && $.meta.path = ""POST /orders/initiateOrder*"" }",OrdInitiateError,>= 5% of attempts,10 min,>= 30 attempts in window,Page,TBD,"Check the last deploy. Sample $.meta.error_message. If it is FAILED_TO_ACQUIRE_LOCK_INITIATE_ORDER, Redis is the problem, not orders.","$.meta.path is req.url (raw, with query string), so parameterized routes need a trailing wildcard. Verify the exact string with Test Pattern - do not assume the Nest route template.",proposed
orders,Order placement API failing,ord-initiate-error-warn,warning,"A minority of order placements are failing",ORDER_CREATE_ERROR,log-tracecode,"{ $.msg = ""ORDER_CREATE_ERROR"" }",OrdCreateError,>= 2% of attempts,30 min,>= 30 attempts in window,Slack,TBD,"Look for a single repeating error_message - usually one cart shape or one coupon.","Known legitimate failures live here too: ORDER_FAILED_NO_ACTIVE_CART, ORDER_FAILED_COUPON_EXPIRE, DUPLICATE_ORDER. Exclude those TraceCodes or the floor will be high.",proposed
orders,Order volume collapse,ord-volume-drop-crit,critical,"Orders stopped being created. Catches the failure the error-rate alerts CANNOT see: an API that returns 200 and silently does nothing.",ORDER_CREATED,log-tracecode,"{ $.msg = ""ORDER_CREATED"" }",OrdCreatedCount,< 40% of trailing 7-day same-hour median,30 min,n/a,Page,TBD,"Confirm against Metabase before acting. If real, check the last deploy and whether initiateOrder is returning 200s with no INSERT.","The most important alert in this module and the one most teams never build. An error-rate alarm reads 0% when the endpoint 200s its way through a no-op. Must be a same-hour-of-day comparison, not a flat number - order volume has a strong daily curve. Set treatMissingData=breaching.",proposed
orders,Order volume collapse,ord-volume-drop-warn,warning,"Order volume meaningfully below normal for this hour",ORDER_CREATED,log-tracecode,"{ $.msg = ""ORDER_CREATED"" }",OrdCreatedCount,< 65% of trailing 7-day same-hour median,1 hr,n/a,Slack,TBD,"Check for a marketing/app-release explanation before treating as an incident.","Will false-positive on holidays and campaign gaps. Accept that, or exclude known dates.",proposed
orders,Payment-gateway callback failing,ord-pg-callback-crit,critical,"Prepaid orders are not being created after successful payment. Customer has paid and has no order.",CALLBACK_PROCESSING_ERROR / PAYMENT_CALLBACK_ERROR,log-tracecode,"{ $.msg = ""CALLBACK_PROCESSING_ERROR"" || $.msg = ""PAYMENT_CALLBACK_ERROR"" }",OrdPgCallbackError,>= 5 ,10 min,n/a,Page,TBD,"Check whether the order exists for the cartId. bulkVerifyStatus is the recovery path for callbacks that never landed.","Highest customer-anger failure in the whole system - money taken, no order. Deeper payment-side coverage comes in the paymentsv2 pass; this row covers the order-creation half only.",proposed
orders,Payment-gateway callback failing,ord-pg-callback-warn,warning,"Some payment callbacks are erroring",CALLBACK_PROCESSING_ERROR / PAYMENT_CALLBACK_ERROR,log-tracecode,"{ $.msg = ""CALLBACK_PROCESSING_ERROR"" || $.msg = ""PAYMENT_CALLBACK_ERROR"" }",OrdPgCallbackError,>= 1,1 hr,n/a,Slack,TBD,"Cross-check the order was still created - the mutex + existingOrder branch makes most retries benign.","Callbacks retry by design, so a single error followed by success is normal. Alert on distinct cartIds, not raw count, if the floor is noisy.",proposed
orders,Order status transition failing,ord-status-update-crit,critical,"Orders are stuck at their current status - no shipment booking, no invoice, no picking progression",UPDATE_ORDER_STATUS_ERROR / POST_ORDER_STATUS_UPDATE_ACTIONS_ERROR,log-tracecode,"{ $.msg = ""UPDATE_ORDER_STATUS_ERROR"" || $.msg = ""POST_ORDER_STATUS_UPDATE_ACTIONS_ERROR"" }",OrdStatusUpdateError,>= 15,15 min,n/a,Page,TBD,"Identify which transition. QC_COMPLETED(61) failures mean no forward shipment is being booked - see modules/orders/status-machine.","POST_ORDER_STATUS_UPDATE_ACTIONS_ERROR is the more dangerous of the two: the status moved but the side effects (shipment, invoice) did not.",proposed
orders,Order status transition failing,ord-status-update-warn,warning,"Some status transitions are failing",UPDATE_ORDER_STATUS_ERROR / POST_ORDER_STATUS_UPDATE_ACTIONS_ERROR,log-tracecode,"{ $.msg = ""UPDATE_ORDER_STATUS_ERROR"" || $.msg = ""POST_ORDER_STATUS_UPDATE_ACTIONS_ERROR"" }",OrdStatusUpdateError,>= 5,1 hr,n/a,Slack,TBD,"Check for one order looping.","IGNORED_STATUS_TRANSITION_RULE is a separate, expected code - do not fold it in.",proposed
orders,Order edit failing,ord-edit-error-crit,critical,"Ops/CC cannot edit orders - blocks substitutions and salt changes, and a half-applied edit can leave cart and order out of sync",CONFIRM_ORDER_EDIT_ERROR / INITIATE_ORDER_EDIT_ERROR,log-tracecode,"{ $.msg = ""CONFIRM_ORDER_EDIT_ERROR"" || $.msg = ""INITIATE_ORDER_EDIT_ERROR"" }",OrdEditError,>= 10,15 min,n/a,Page,TBD,"Confirm the edited cart and the order amount agree for a sample order before letting ops retry.","Edit touches money (refund/top-up). A spike here is a Stop-and-Confirm-category regression.",proposed
orders,Order edit failing,ord-edit-error-warn,warning,"Order edits are erroring at low rate",CONFIRM_ORDER_EDIT_ERROR / INITIATE_ORDER_EDIT_ERROR,log-tracecode,"{ $.msg = ""CONFIRM_ORDER_EDIT_ERROR"" || $.msg = ""INITIATE_ORDER_EDIT_ERROR"" }",OrdEditError,>= 3,1 hr,n/a,Slack,TBD,"Most are status-gate rejections (order too far along). Check error_message before escalating.","Legitimate floor from ORDERS_WITH_STATUS_ID_CAN_NOT_BE_EDITED and NEW_SALT_NOT_ALLOWED_AFTER_PICKER_ASSIGNED.",proposed
orders,Customer order-detail read path broken,ord-read-error-crit,critical,"Customers cannot see their orders. High support volume, looks like the app is down even when fulfilment is fine.",FETCH_ORDER_DETAILS_V2_ERROR / FETCH_ORDER_DETAIL_ERROR / FETCH_USER_ORDER_DETAIL_ERROR,log-tracecode,"{ $.msg = ""FETCH_ORDER_DETAILS_V2_ERROR"" || $.msg = ""FETCH_ORDER_DETAIL_ERROR"" || $.msg = ""FETCH_USER_ORDER_DETAIL_ERROR"" }",OrdReadError,>= 5% of attempts,15 min,>= 50 attempts in window,Page,TBD,"Check the last deploy. Read paths break on null-deref far more often than write paths given strictNullChecks is off.","Read-path breakage is the most common junior-dev regression and the least likely to be caught by a fulfilment-side alert.",proposed
orders,Customer order-detail read path broken,ord-read-error-warn,warning,"Order detail reads failing for a subset of orders",FETCH_ORDER_DETAILS_V2_ERROR and siblings,log-tracecode,"{ $.msg = ""FETCH_ORDER_DETAILS_V2_ERROR"" }",OrdReadError,>= 2% of attempts,1 hr,>= 50 attempts in window,Slack,TBD,"Sample orderIds - usually one data shape (missing shipment, null patient details).","Often a specific order state rather than a global break. Capture the orderId in triage.",proposed
orders,Order API latency,ord-latency-crit,critical,"Order placement is slow enough that customers abandon or the client times out",REST_SLOW_CALL / DB_SLOW_QUERY,log-tracecode,"{ $.msg = ""REST_SLOW_CALL"" }",OrdSlowCall,>= 3x trailing 7-day same-hour median,15 min,>= 30 in window,Page,TBD,"Check $.meta.url to see which downstream is slow, and $.meta.durationMs. Then check DB_SLOW_QUERY for the same window.","REST_SLOW_CALL threshold is 3000ms by default (RestServiceUtils.DEFAULT_SLOW_CALL_THRESHOLD_MS), per-call overridable. DB_SLOW_QUERY is 10% SAMPLED (db-query-logger.service.ts:19) so multiply its count by ~10 before reasoning about volume. There is no true request-latency metric in logs - INITIATE_ORDER_STEP_TIMING is declared but never emitted.",proposed
orders,Order API latency,ord-latency-warn,warning,"Elevated downstream latency on order paths",REST_SLOW_CALL / DB_SLOW_QUERY,log-tracecode,"{ $.msg = ""REST_SLOW_CALL"" }",OrdSlowCall,>= 2x trailing 7-day same-hour median,1 hr,>= 30 in window,Slack,TBD,"Usually Zoho or ClickPost. Correlate before blaming our code.","Prefer real p95 from the load balancer once confirmed available - see README. This log-based version is a stopgap.",proposed
infra,Postgres unreachable or erroring,infra-db-error-crit,critical,"Queries are failing. Depending on the call site this surfaces as a 500, or as a 400 with the raw PG message, or silently swallowed by a catch.",DB_QUERY_ERROR,log-tracecode,"{ $.msg = ""DB_QUERY_ERROR"" }",DbQueryError,>= 50,5 min,n/a,Page,TBD,"Check RDS status and DatabaseConnections first. $.meta.query identifies whether it is one bad query (a deploy) or all of them (the DB).","BEST INFRA SIGNAL AVAILABLE - emitted by CustomTypeOrmLogger.logQueryError for EVERY failed query, unsampled, and the logger is wired into the datasource (db/data-source.ts:37). Unlike HTTP 5xx, DB failures are genuinely visible.",proposed
infra,Postgres unreachable or erroring,infra-db-error-warn,warning,"Some queries failing - usually one bad query shipped in a deploy",DB_QUERY_ERROR,log-tracecode,"{ $.msg = ""DB_QUERY_ERROR"" }",DbQueryError,>= 10,15 min,n/a,Slack,TBD,"Group by $.meta.query. One repeated query = a code bug, spread across many = infrastructure.","A single new query dominating right after a deploy is the signature of the regression class we care about.",proposed
infra,Postgres resource pressure,infra-db-capacity-crit,critical,"Connection pool exhausted or RDS saturated - requests queue and time out before reaching the DB",RDS DatabaseConnections / CPUUtilization,cloudwatch-native,"n/a - native RDS metric",AWS/RDS DatabaseConnections,"> 85% of max_connections, or CPU > 90%",5 min,n/a,Page,TBD,"Check which deployment is holding connections. Pool is max:30 min:5 per process (db/data-source.ts:19-27) times replicas times 5 deployments - budget it against RDS max_connections.","No code needed - native metric, no log-shape caveats. connectionTimeoutMillis is 5000, so exhaustion shows up as timeouts not refusals. Also worth: FreeableMemory, ReadLatency/WriteLatency, DiskQueueDepth.",proposed
infra,Postgres resource pressure,infra-db-capacity-warn,warning,"Connection or CPU headroom shrinking",RDS DatabaseConnections / CPUUtilization,cloudwatch-native,"n/a - native RDS metric",AWS/RDS DatabaseConnections,"> 70% of max_connections, or CPU > 75%",15 min,n/a,Slack,TBD,"Capacity-plan rather than firefight. Check whether a new consumer or replica count pushed it up.","Replica datasource is separate - make sure read traffic is actually on it before adding writer capacity.",proposed
infra,Redis down,infra-redis-down-crit,critical,"EVERY IDEMPOTENCY GUARD IS SILENTLY DISABLED. RedisMutex.acquire() returns true when Redis errors (mutex.ts:105-108, 'If Redis is down, avoid blocking operations'), so duplicate order placement, duplicate Sales Orders and double refunds all become possible while the app looks healthy.",REDIS_GENERAL_ERROR / REDIS_CONNECTION_ENDED / LOCK_ACQUIRE_CONNECTION_ERROR,log-tracecode,"{ $.msg = ""REDIS_GENERAL_ERROR"" || $.msg = ""REDIS_CONNECTION_ENDED"" || $.msg = ""LOCK_ACQUIRE_CONNECTION_ERROR"" }",RedisError,>= 5,5 min,n/a,Page,TBD,"Treat as a data-integrity incident, not a caching incident. After recovery, check for duplicate orders per userCartId and duplicate Zoho SOs in the outage window.","The fail-open behaviour is deliberate (availability over consistency) but it means a Redis blip can produce duplicate money movement with no error anywhere. Pair with ElastiCache native metrics: CurrConnections, CPUUtilization, Evictions, DatabaseMemoryUsagePercentage.",proposed
infra,Redis down,infra-redis-down-warn,warning,"Redis connection is unstable",REDIS_GENERAL_ERROR / REDIS_RECONNECTING,log-tracecode,"{ $.msg = ""REDIS_GENERAL_ERROR"" || $.msg = ""REDIS_RECONNECTING"" }",RedisError,>= 2,15 min,n/a,Slack,TBD,"Check ElastiCache metrics before assuming it is the app.","Two independent ioredis singletons exist (CachingService and RedisMutex) - one can be unhealthy while the other is fine. See cross-cutting/caching in the wiki.",proposed
infra,Readiness probe failing - pods pulled from service,infra-readiness-crit,critical,"Pods are failing /pdp/health and being removed from the Service. If Redis is the cause this hits ALL pods at once because Redis is shared - a Redis blip becomes a full outage even though the app degrades gracefully otherwise.",k8s readiness / Service endpoint count,k8s-metric,"n/a - not logged, see notes",EKS ready-replica count,< 100% ready replicas,5 min,n/a,Page,TBD,"Hit /pdp/health directly - it returns healthStatus{dbHealth,redisHealth} so it tells you which dependency failed. Do not restart pods; liveness is separate and correctly does not check dependencies.","TWO PROBLEMS. (1) A FAILING READINESS CHECK LOGS NOTHING - checkHealth throws InternalServerErrorException which the global filter returns without logging, and SYSTEM_UNHEALTHY is declared in the enum but never emitted. This alert must come from k8s/Container Insights, not from logs. (2) Readiness gates on Redis (pdp.service.ts:436-452), so Redis down = every pod unready = total outage. Consider degrading Redis to a warning field rather than a readiness failure.",proposed
infra,Readiness probe failing - pods pulled from service,infra-readiness-warn,warning,"A subset of pods is flapping ready/unready",k8s readiness,k8s-metric,"n/a",EKS ready-replica count,any pod unready > 2 min,15 min,n/a,Slack,TBD,"Usually one pod with a bad connection rather than a shared dependency.","Expected during rollouts - suppress in the deploy window.",proposed
infra,Pod crash-looping or OOM,infra-pod-restart-crit,critical,"Containers are restarting - in-flight requests dropped, queue consumers repeatedly losing their connection",Container Insights restart count / OOMKilled,k8s-metric,"n/a - native",pod_number_of_container_restarts,>= 3 restarts in 15 min for any deployment,15 min,n/a,Page,TBD,"Check for OOMKilled vs crash. Correlate with UNHANDLED_ERROR / UNHANDLED_REJECTIONS in logs and with the last deploy.","SIGTERM_RECEIVED (main.ts:89) and SYSTEM_GRACEFUL_SHUTDOWN mark intentional shutdown - use them to distinguish a rollout from a crash. Worker deployments matter as much as the API here.",proposed
infra,Pod crash-looping or OOM,infra-pod-restart-warn,warning,"Occasional pod restarts",Container Insights restart count,k8s-metric,"n/a - native",pod_number_of_container_restarts,>= 1 unexplained restart,1 hr,n/a,Slack,TBD,"Check memory trend before dismissing - a slow leak shows up here first.","Memory leaks in this codebase have a precedent (the shared https.Agent in RestServiceUtils exists to fix an SSL leak).",proposed
infra,Queue not being consumed,infra-queue-consumer-crit,critical,"Messages are piling up with nobody processing them. Faster and more direct than any log-derived backlog signal.",AmazonMQ ConsumerCount / MessageReadyCount; SQS ApproximateAgeOfOldestMessage,cloudwatch-native,"n/a - native broker/SQS metric",AWS/AmazonMQ ConsumerCount,"ConsumerCount = 0, or oldest message age > 15 min",5 min,n/a,Page,TBD,"ConsumerCount=0 means the worker pod is down or never subscribed - check ENABLE_*_QUEUE_CONSUMER on the ConfigMap for that deployment.","Strictly better than so-backlog-crit for detection speed (minutes vs up to an hour) - keep both, they fail differently. Also add DLQ depth > 0 for every SQS queue that has one; the AmazonMQ sales-order path has NO DLQ (nack requeue=false drops the message).",proposed
infra,Queue not being consumed,infra-queue-consumer-warn,warning,"Queue depth or message age climbing",AmazonMQ MessageReadyCount; SQS ApproximateNumberOfMessagesVisible,cloudwatch-native,"n/a - native",AWS/AmazonMQ MessageReadyCount,"depth > 3x trailing 7-day same-hour median",30 min,n/a,Slack,TBD,"Check whether the consumer is slow or the producer spiked.","RabbitMQ consumer runs prefetch(1) = strictly sequential, so a slow message head-of-line-blocks everything behind it. Depth climbing with ConsumerCount>0 usually means one slow message, not capacity.",proposed
