module,flow,alert_id,severity,what_breaks,signal,signal_type,cloudwatch_filter_pattern,metric_name,threshold,window,min_volume_guard,action,owner,runbook,notes,status
manifest,Dispatch marking failing,man-dispatch-error-crit,critical,"Orders cannot be marked dispatched. Handover to the courier is not recorded, so tracking never starts and the customer sees no movement on a parcel that has physically left.",MARK_DISPATCHED_ERROR,log-tracecode,"{ $.msg = ""MARK_DISPATCHED_ERROR"" }",ManDispatchError,>= 5,15 min,n/a,Page,TBD,"Check whether the shipment exists for the affected orders (status_id >= 61). Dispatch marking on an order with no shipment is a different bug from dispatch marking failing outright.","Time-sensitive in a way the other alerts are not: it fires during the courier pickup window, and a missed window costs a full day of transit. Bias toward paging even at low volume during pickup hours.",proposed
manifest,Dispatch marking failing,man-dispatch-error-warn,warning,"Some dispatch markings are failing",MARK_DISPATCHED_ERROR,log-tracecode,"{ $.msg = ""MARK_DISPATCHED_ERROR"" }",ManDispatchError,>= 2,1 hr,n/a,Slack,TBD,"Check MARK_DISPATCHED_PROMISES in the same window - it records the batch outcome and shows how many of a bulk mark succeeded.","MARK_DISPATCHED_PROMISES gives per-batch success/failure counts, so it is the better triage signal once this fires.",proposed
manifest,Manifest list unavailable,man-fetch-error-crit,critical,"GET /ops/manifestedOrders is failing, so warehouse staff cannot see what to hand over. The floor is blocked even though every order behind it is ready.",GET_MANIFESTED_ORDERS_ERROR,log-tracecode,"{ $.msg = ""GET_MANIFESTED_ORDERS_ERROR"" }",ManFetchError,>= 5,10 min,n/a,Page,TBD,"Read path - check the last deploy first. Ops will report this as 'the manifest page is blank'.","Read-path breakage that stops physical work. Cheap to detect, and the kind of regression a UI change ships without noticing.",proposed
manifest,Manifest list unavailable,man-fetch-error-warn,warning,"Manifest list failing intermittently",GET_MANIFESTED_ORDERS_ERROR,log-tracecode,"{ $.msg = ""GET_MANIFESTED_ORDERS_ERROR"" }",ManFetchError,>= 2,1 hr,n/a,Slack,TBD,"Often a filter/date-range shape rather than a global break.","Capture the query params in triage.",proposed
gatepass,Gatepass creation failing - goods stuck at the gate,gp-create-error-crit,critical,"Vendor deliveries cannot be booked in. Nothing can be inwarded because a gatepass number is a hard prerequisite for starting a GRN, so trucks queue at the gate and stock never enters the building.",CREATE_GATEPASS_ERROR,log-tracecode,"{ $.msg = ""CREATE_GATEPASS_ERROR"" }",GpCreateError,>= 5,15 min,n/a,Page,TBD,"Check error_message for DUPLICATE_ACTIVE_GATEPASS (an open gatepass already exists for that warehouse+vendor+bill) or INVALID_CARRIER_PARTNER - both are data rejections, not outages.","Head of the whole inward chain: gatepass -> GRN -> Zoho bill -> sellable stock. A failure here blocks everything downstream and is visible physically (trucks waiting) long before any dashboard shows it. DUPLICATE_ACTIVE_GATEPASS is a legitimate floor - exclude it.",proposed
gatepass,Gatepass creation failing - goods stuck at the gate,gp-create-error-warn,warning,"Some gatepasses are failing to create",CREATE_GATEPASS_ERROR,log-tracecode,"{ $.msg = ""CREATE_GATEPASS_ERROR"" }",GpCreateError,>= 2,1 hr,n/a,Slack,TBD,"Usually one vendor or one carrier record. Check FETCH_CARRIER_ERROR in the same window.","Carrier lookup failures surface separately as FETCH_CARRIER_ERROR - worth correlating rather than alerting on separately.",proposed
gatepass,Gatepass status not closing out,gp-status-error-crit,critical,"Gatepasses cannot be moved or cancelled, so they stay open. An open gatepass blocks the next one for the same warehouse+vendor+bill (DUPLICATE_ACTIVE_GATEPASS), which compounds into a gate blockage.",UPDATE_GATEPASS_STATUS_ERROR,log-tracecode,"{ $.msg = ""UPDATE_GATEPASS_STATUS_ERROR"" }",GpStatusError,>= 5,15 min,n/a,Page,TBD,"Check for gatepasses stuck open beyond a shift. Cancellation requires cancellationReason - a missing one is a 400, not an outage.","Self-compounding: each unclosed gatepass blocks the next delivery from the same vendor, so the impact grows rather than staying flat.",proposed
gatepass,Gatepass status not closing out,gp-status-error-warn,warning,"Some gatepass status updates are failing",UPDATE_GATEPASS_STATUS_ERROR,log-tracecode,"{ $.msg = ""UPDATE_GATEPASS_STATUS_ERROR"" }",GpStatusError,>= 2,1 hr,n/a,Slack,TBD,"Check GATEPASS_DOCUMENT_UPLOAD_ERROR too - a failed invoice-document upload can block the status move.","Max 10 invoice documents per gatepass; hitting that is a legitimate rejection.",proposed
grn,GRN cannot be started or resumed,grn-create-error-crit,critical,"Warehouse staff cannot begin or continue inwarding. Stock is physically on site but cannot be entered, so it never becomes sellable.",GRN_CREATE_ERROR / GRN_RESUME_ERROR,log-tracecode,"{ $.msg = ""GRN_CREATE_ERROR"" || $.msg = ""GRN_RESUME_ERROR"" }",GrnCreateError,>= 5,15 min,n/a,Page,TBD,"Check error_message for GRN_GATEPASS_NUMBER_REQUIRED or GRN_ALREADY_HAS_GATEPASS - both mean the gatepass step is wrong, so triage gatepass first.","Triage upstream-first: a gatepass problem presents here as a GRN error. GRN_INVOICE_EXISTS_FOR_DIFFERENT_VENDOR_OR_WAREHOUSE and GRN_ALREADY_COMPLETED are legitimate rejections - exclude before thresholding.",proposed
grn,GRN cannot be started or resumed,grn-create-error-warn,warning,"Some GRNs are failing to start or resume",GRN_CREATE_ERROR / GRN_RESUME_ERROR / GRN_SAVE_DRAFT_ERROR,log-tracecode,"{ $.msg = ""GRN_CREATE_ERROR"" || $.msg = ""GRN_RESUME_ERROR"" || $.msg = ""GRN_SAVE_DRAFT_ERROR"" }",GrnCreateError,>= 3,1 hr,n/a,Slack,TBD,"Draft-save failures are the quiet one - staff lose entered work and usually re-key it rather than report it.","GRN_SAVE_DRAFT_ERROR is worth watching on its own: it loses operator work silently and generates no complaint, just slower inwarding.",proposed
grn,Bill creation failing - GRN cannot complete,grn-bill-error-crit,critical,"The GRN cannot be closed into a bill, so the inward never finishes and the stock never reaches Zoho. Everything received in this window stays unsellable.",CREATE_BILL_ERROR / CREATE_ZOHO_BILL_ERROR,log-tracecode,"{ $.msg = ""CREATE_BILL_ERROR"" || $.msg = ""CREATE_ZOHO_BILL_ERROR"" }",GrnBillError,>= 5,15 min,n/a,Page,TBD,"Check Zoho health first. If Zoho is fine, sample error_message - INVALID_GST_FOR_TAX_DERIVATION means a warehouse or vendor GSTIN is missing, which blocks tax derivation entirely.","GST derivation failures are NOT separately visible: GRN_GST_DERIVATION_ERROR is declared in the enum but NEVER EMITTED, so a GST problem is indistinguishable from any other bill failure here. Worth emitting it - it is a distinct operational fix (add the GSTIN) from a Zoho outage.",proposed
grn,Bill creation failing - GRN cannot complete,grn-bill-error-warn,warning,"Some bills are failing to create",CREATE_BILL_ERROR / CREATE_ZOHO_BILL_ERROR,log-tracecode,"{ $.msg = ""CREATE_BILL_ERROR"" || $.msg = ""CREATE_ZOHO_BILL_ERROR"" }",GrnBillError,>= 2,1 hr,n/a,Slack,TBD,"Usually one vendor's tax setup or one batch failing PTR_CANNOT_BE_GTE_MRP.","Data-quality rejections dominate this floor. Capture vendor + drugCode in triage.",proposed
grn,Zoho bill lost-response recovery failing,grn-bill-wedged-crit,critical,"The bill POST timed out AND the recovery search also failed. Zoho may hold a bill that we have nothing persisted for - the GRN is permanently wedged and the stock is in limbo between systems.",SEARCH_ZOHO_BILL_ERROR,log-tracecode,"{ $.msg = ""SEARCH_ZOHO_BILL_ERROR"" }",GrnBillSearchError,>= 1,30 min,n/a,Page,TBD,"Search Zoho manually for the bill number + vendor. If it exists there, the local record must be reconciled by hand before the GRN can proceed. Do not simply retry - that risks a duplicate bill.","Fires on a SINGLE occurrence deliberately. The code comment at zoho.service.ts:5973-5978 states the failure mode explicitly: failing here 'would orphan the bill on Zoho with nothing persisted locally and permanently wedge the GRN'. The adopt-existing path (CREATE_ZOHO_BILL_SKIPPED) is the healthy recovery; this code means even that failed.",proposed
grn,Zoho bill lost-response recovery failing,grn-bill-adopted-warn,warning,"Bill creation is timing out and being recovered by adoption",CREATE_ZOHO_BILL_SKIPPED,log-tracecode,"{ $.msg = ""CREATE_ZOHO_BILL_SKIPPED"" }",GrnBillAdopted,>= 3,1 hr,n/a,Slack,TBD,"Recovery worked, so nothing is broken - but a rising rate means Zoho bill POSTs are getting slow enough to time out routinely.","This is the SUCCESS path of the recovery, tracked as a leading indicator of Zoho latency rather than as a failure. If it climbs, expect grn-bill-wedged to start firing.",proposed
grn,Inward quality gates spiking,grn-quality-gate-warn,warning,"An unusual share of received stock is being blocked on expiry, PTR/MRP or MRP deviation. Almost always a vendor or purchase-order problem rather than a software one - but it stalls inwarding all the same.",GRN_EXPIRY_BLOCK / GRN_PTR_MRP_BLOCK / GRN_MRP_DEVIATION,log-tracecode,"{ $.msg = ""GRN_EXPIRY_BLOCK"" || $.msg = ""GRN_PTR_MRP_BLOCK"" || $.msg = ""GRN_MRP_DEVIATION"" }",GrnQualityBlock,>= 3x trailing 7-day same-day median,1 day,>= 20 GRN line items in window,Slack,TBD,"Group by vendor. A single vendor dominating means a commercial conversation, not an engineering one. Expiry blocks require a Vendor Credit to return the stock.","NOT an error signal - these are working-as-intended quality gates, which is why there is no critical row. Expiry rule blocks anything expiring within 1 month (Utils.isExpiryWithinBlockWindow). Route this to procurement, not to on-call.",proposed
grn,Inward funnel collapse,grn-funnel-crit,critical,"GRNs are being started but not completed. Catches the silent case: staff can begin inwarding, hit a wall partway, and abandon - no error is raised and no alert above fires, but stock never becomes sellable.",GRN_CREATED vs GRN_COMPLETED,log-ratio,"{ $.msg = ""GRN_CREATED"" } vs { $.msg = ""GRN_COMPLETED"" }",GrnStartedVsCompleted,"completed < 50% of created",1 day,>= 10 created in window,Page,TBD,"Find GRNs created today with no matching completion. Check whether they are all at the same step - that identifies the wall.","The inward equivalent of the invoice hang detector. A GRN spans a shift, so the window must be a day, not minutes - do NOT copy the short windows used elsewhere in these sheets. Note stock is NOT sellable at GRN_COMPLETED either: item_procurement.stock_in_warehouse is updated by a Zoho-pull cron, not synchronously by createBill (CLAUDE.md), so there is real lag between a completed GRN and sellable stock.",proposed
grn,Inward funnel collapse,grn-funnel-warn,warning,"Fewer GRNs completing than usual for this day",GRN_CREATED vs GRN_COMPLETED,log-ratio,"{ $.msg = ""GRN_CREATED"" } vs { $.msg = ""GRN_COMPLETED"" }",GrnStartedVsCompleted,"completed < 75% of created",1 day,>= 10 created in window,Slack,TBD,"Compare against the delivery schedule before treating as a fault - a light delivery day looks identical.","Strong weekly seasonality tied to vendor delivery schedules. Baseline by day-of-week, not hour-of-day.",proposed
racking,Racking completion failing - stock unfindable,rack-complete-error-crit,critical,"Stock is physically in the building but not being put away against a rack location. Pickers cannot find it, so it behaves as phantom stock: sellable on paper, missing on the shelf.",RACKING_COMPLETE_ERROR,log-tracecode,"{ $.msg = ""RACKING_COMPLETE_ERROR"" }",RackCompleteError,>= 5,15 min,n/a,Page,TBD,"Check whether the racking task or the drug_warehouse_locations write failed. Stock racked without a location row is the worst case - it exists but no picker will be routed to it.","Sits directly after GRN in the inward chain: gatepass -> GRN -> bill -> RACKING -> findable stock. A GRN can complete cleanly and stock still be unpickable if this fails. mdm.drug_warehouse_locations is the mapping (owned by pdp, endpoints in warehouse-operations).",proposed
racking,Racking completion failing - stock unfindable,rack-complete-error-warn,warning,"Some racking tasks are failing to complete",RACKING_COMPLETE_ERROR,log-tracecode,"{ $.msg = ""RACKING_COMPLETE_ERROR"" }",RackCompleteError,>= 2,1 hr,n/a,Slack,TBD,"Sample the taskId and tray. Repeats on one tray usually mean a scan/identifier problem, not code.","Warehouse staff will re-try rather than report, so a low steady rate is invisible operationally. Watch the trend, not the spike.",proposed
racking,Rack location lookup failing - pickers blind,rack-lookup-error-crit,critical,"Rack location lookups are failing, so pick lists show no location. Pickers walk the floor searching, pick rate collapses and every order behind them misses its RFD.",ERROR_FETCHING_RACK_LOCATION_BY_DRUGCODES / _BY_TRAY_ID,log-tracecode,"{ $.msg = ""ERROR_FETCHING_RACK_LOCATION_BY_DRUGCODES"" || $.msg = ""ERROR_FETCHING_RACK_LOCATION_BY_TRAY_ID"" }",RackLookupError,>= 8,15 min,n/a,Page,TBD,"Read path - check the last deploy first. Confirm mdm.drug_warehouse_locations is queryable; the idx_bill_items_drug_batch index dropped from that migration would also degrade this.","Degrades throughput rather than stopping it outright, so it will not surface as an outage - it surfaces as 'picking is slow today'. Worth paging anyway because the cost compounds across every order in the shift.",proposed
racking,Rack location lookup failing - pickers blind,rack-lookup-error-warn,warning,"Rack location lookups failing intermittently",ERROR_FETCHING_RACK_LOCATION_BY_DRUGCODES / _BY_TRAY_ID,log-tracecode,"{ $.msg = ""ERROR_FETCHING_RACK_LOCATION_BY_DRUGCODES"" || $.msg = ""ERROR_FETCHING_RACK_LOCATION_BY_TRAY_ID"" }",RackLookupError,>= 3,1 hr,n/a,Slack,TBD,"Check whether it is one warehouse - locations are per-warehouse.","Per-warehouse mapping means one site can be blind while others are fine. Capture warehouseId.",proposed
racking,SKUs with no rack location,rack-missing-location-warn,warning,"A SKU has arrived with no rack location mapping, so it cannot be put away or picked until someone assigns it a home. Operational backlog rather than an outage.",ERROR_ADDING_MISSING_RACK_LOCATION_FOR_DRUG_CODE,log-tracecode,"{ $.msg = ""ERROR_ADDING_MISSING_RACK_LOCATION_FOR_DRUG_CODE"" }",RackMissingLocation,>= 5,1 day,n/a,Slack,TBD,"Collect the drug codes and hand to the warehouse team to assign locations. Not an engineering fix unless the write itself is failing.","No critical row: a missing mapping is a data-entry gap, and new SKUs legitimately arrive without one. Only alert if the volume suggests the auto-assign path itself broke. NOTE there is no RACKING_TASK_CREATED code, so a racking funnel (created vs completed) CANNOT be built today - RACKING_TASK_CREATE_ERROR and ADD_MISSING_RACK_LOCATION_ERROR are both declared-only and never emitted.",proposed
rto,RTO auto-advance cron not running,rto-cron-crit,critical,"The 2-hourly job that moves RTO_INITIATED (107) to RTO_IN_TRANSIT (108) after 3 days has stopped. Returned parcels stall at the first rung, so nothing reaches the warehouse, no QC happens and no refund is triggered.",PROCESS_RTO_STATUS_UPDATE_REQUEST,log-tracecode,"{ $.msg = ""PROCESS_RTO_STATUS_UPDATE_REQUEST"" }",RtoCronRuns,no datapoint,5 hr,n/a,Page,TBD,"Check cron-job.org for POST /orders/updateRtoStatus (orders.controller.ts:2392). Scheduled every 2h per the cron inventory - so two consecutive misses is a real failure.","This cron IS scheduled (unlike the transfer-order ones) - confirmed in the cron inventory as 'Update RTO InTransit Orders', every 2h. Set treatMissingData=breaching. GAP: the handler logs the REQUEST marker with no payload and returns {count} WITHOUT logging it, so there is no 'how many advanced' metric - add count to the log and this becomes a much better signal.",proposed
rto,RTO auto-advance cron not running,rto-cron-error-warn,warning,"The RTO status cron is running but erroring",PROCESS_RTO_STATUS_UPDATE_ERROR,log-tracecode,"{ $.msg = ""PROCESS_RTO_STATUS_UPDATE_ERROR"" }",RtoCronError,>= 1,4 hr,n/a,Slack,TBD,"The whole sweep is inside one try/catch and rethrows, so ONE bad order aborts the entire run - the remaining orders are not advanced.","Important shape difference from the transfer-order reconcile cron, which is per-item try/catch: here a single failure stops everything after it. That makes a single occurrence meaningful rather than routine.",proposed
rto,RTO refund not completing - customer out of pocket,rto-refund-stuck-crit,critical,"Goods have come back but the refund has not. Orders sit at RTO_REFUND_INITIATED (160) without reaching RTO_REFUND_PROCESSED (161) - the customer has paid, returned the parcel, and has neither goods nor money.",Orders at status 160 ageing beyond N hours,db-query,"VERIFY: check whether UPDATE_ORDER_STATUS carries the status id in $.meta before using a metric filter; otherwise use a Metabase alert on marketplace.orders",RtoRefundStuck,>= 5 orders older than 24 h,1 hr,n/a,Page,TBD,"Cross-check against the refund alerts in the main registry - an RTO refund failure is usually a gateway failure, not an RTO-specific one.","Highest customer-anger case in the reverse chain and the reason RTO deserves its own rows at all. Signal needs confirming: status transitions may not carry the id in the log payload, in which case this is a Metabase/DB alert rather than CloudWatch.",proposed
rto,RTO refund not completing - customer out of pocket,rto-refund-stuck-warn,warning,"RTO refunds are ageing",Orders at status 160 ageing,db-query,"same as critical, once verified",RtoRefundStuck,>= 2 orders older than 24 h,4 hr,n/a,Slack,TBD,"Check whether QC (125) completed for those orders - refund is gated on it.","RTO refund is gated on RTO_QUALITY_CHECK_DONE (125), so a QC backlog presents here. Triage QC first.",proposed
rto,RTO terminal-failure spike,rto-lost-mismatch-crit,critical,"An unusual number of returns are ending at RTO_LOST (117) or RTO_MISMATCH (120). Lost parcels are written-off stock and a refund liability; mismatches mean what came back is not what went out.",Transitions into status 117 / 120,db-query,"VERIFY as above - status id in log payload, else Metabase",RtoTerminalFailures,>= 3x trailing 7-day median,1 day,>= 10 RTOs in window,Page,TBD,"Group by courier partner. A single carrier dominating LOST is a commercial conversation; spread across carriers suggests a warehouse receiving problem.","Both statuses are money: LOST is written-off stock, MISMATCH is a dispute. Day-window because RTO transit takes days - do not use the short windows from the outward chain.",proposed
rto,RTO terminal-failure spike,rto-lost-mismatch-warn,warning,"RTO losses or mismatches above normal",Transitions into status 117 / 120,db-query,"same as critical",RtoTerminalFailures,>= 2x trailing 7-day median,1 day,>= 10 RTOs in window,Slack,TBD,"Route to the logistics team with the carrier breakdown rather than to on-call.","Vendor-management signal more than an engineering one, same as the GRN quality gates.",proposed
rto,RTO not reaching the warehouse,rto-receipt-gap-warn,warning,"Parcels marked RTO_DELIVERED (112) by the courier are not being received into the warehouse (113). Stock is at the door but never enters inventory, and the refund chain behind it never starts.",Orders at 112 not reaching 113,db-query,"VERIFY as above",RtoReceiptGap,>= 5 orders older than 48 h,1 day,n/a,Slack,TBD,"This is a warehouse-process gap more often than a software one - confirm with the site before raising a bug.","The reverse-chain equivalent of the GRN funnel. Included as warning-only because the failure is usually operational; promote to critical if it proves to be a systems problem.",proposed
